time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V,voltage_command_sat_V,duty_cycle,voltage_avg_V,pwm_error_V,shaft_angle_rad,encoder_count,encoder_delta_count,encoder_rpm,encoder_rpm_error,true_rpm,feedback_rpm,encoder_A,encoder_B,quadrature_state,previous_quadrature_state,decoded_encoder_count,encoder_direction,invalid_transition_count,ideal_count_edge,encoder_edge_angle_rad,ideal_encoder_count_phase5a,count_difference_vs_phase5a
0.565,1499.55926491899,0.320223443313694,0.0160111721656847,7.8516739504867,157.033479009734,8.5165782557045,0,1500,1494.140625,5.859375,8.5165782557045,8.48022929062882,-912.238816620352,0,8.5165782557045,0.709714854642041,8.51657825570449,-1.77635683940025e-15,70.5843304359844,46013,102,1494.140625,-5.41863991899299,1499.55926491899,1494.140625,0,1,1,1,46013,0,0,46013,70.5843304359844,46013,0
0.566,1499.61004796884,0.327909360994251,0.0163954680497126,7.8519398499139,157.038796998278,8.42620285279057,0,1500,1508.7890625,-8.7890625,8.42620285279057,8.48072630040409,1681.20723614971,0,8.42620285279057,0.702183571065881,8.42620285279057,0,70.7413662594319,46116,103,1508.7890625,9.17901453116065,1499.61004796884,1508.7890625,0,0,0,0,46116,0,0,46116,70.7413662594319,46116,0
0.567,1499.60441670674,0.302122096267912,0.0151061048133956,7.8519103646945,157.03820729389,8.51632975081686,0,1500,1494.140625,5.859375,8.51632975081686,8.47998078574118,-1040.40021987524,0,8.51632975081686,0.709694145901405,8.51632975081686,0,70.8984058186874,46218,102,1494.140625,-5.46379170673936,1499.60441670674,1494.140625,1,1,3,3,46218,0,0,46218,70.8984058186874,46218,0
0.568,1499.6002403641,0.321157040753551,0.0160578520376776,7.85188849741559,157.037769948312,8.51682676059214,0,1500,1494.140625,5.859375,8.51682676059214,8.48047779551645,-867.00018322937,0,8.51682676059214,0.709735563382678,8.51682676059214,0,71.0554430269127,46320,102,1494.140625,-5.45961536410232,1499.6002403641,1494.140625,0,0,0,0,46320,0,0,46320,71.0554430269127,46320,0
0.569,1499.65382264352,0.328260483420832,0.0164130241710416,7.85216905357456,157.043381071491,8.42645135767821,0,1500,1508.7890625,-8.7890625,8.42645135767821,8.48097480529173,1718.90609730886,0,8.42645135767821,0.702204279806518,8.42645135767821,0,71.2124833117743,46423,103,1508.7890625,9.13523985647976,1499.65382264352,1508.7890625,1,0,2,2,46423,0,0,46423,71.2124833117743,46423,0
0.57,1499.64922158511,0.302256238925634,0.0151128119462817,7.85214496248906,157.042899249781,8.5165782557045,0,1500,1494.140625,5.859375,8.5165782557045,8.48022929062882,-1008.98450224262,0,8.5165782557045,0.709714854642042,8.5165782557045,0,71.3695275179502,46525,102,1494.140625,-5.50859658511081,1499.64922158511,1494.140625,0,1,1,1,46525,0,0,46525,71.3695275179502,46525,0
0.571,1499.64541653039,0.32121037624113,0.0160605188120565,7.85212503926912,157.042500785382,8.42620285279057,0,1500,1508.7890625,-8.7890625,8.42620285279057,8.48072630040409,1600.58583146448,0,8.42620285279057,0.702183571065881,8.42620285279057,0,71.5265694408886,46628,103,1508.7890625,9.1436459696115,1499.64541653039,1508.7890625,0,0,0,2,46628,1,0,46628,71.5265694408886,46628,0
0.572,1499.61942213642,0.299621394125037,0.0149810697062518,7.85198893294057,157.039778658811,8.51632975081686,0,1500,1494.140625,5.859375,8.51632975081686,8.47998078574118,-1107.5847237796,0,8.51632975081686,0.709694145901405,8.51632975081686,0,71.6836114653943,46730,102,1494.140625,-5.47879713641805,1499.61942213642,1494.140625,1,1,3,3,46730,0,0,46730,71.6836114653943,46730,0
0.573,1499.60763424798,0.32022056432852,0.016011028216426,7.85192721170106,157.038544234021,8.51682676059214,0,1500,1494.140625,5.859375,8.51682676059214,8.48047779551646,-922.98726981633,0,8.51682676059214,0.709735563382678,8.51682676059214,0,71.8406497822382,46832,102,1494.140625,-5.46700924798347,1499.60763424798,1494.140625,0,0,0,0,46832,0,0,46832,71.8406497822382,46832,0
0.574,1499.65835619441,0.32790685768508,0.016395342884254,7.85219279119148,157.04385582383,8.42645135767821,0,1500,1508.7890625,-8.7890625,8.42645135767821,8.48097480529173,1672.25019181972,0,8.42645135767821,0.702204279806518,8.42645135767821,0,71.9976906676945,46935,103,1508.7890625,9.13070630559469,1499.65835619441,1508.7890625,1,0,2,2,46935,0,0,46935,71.9976906676945,46935,0
0.575,1499.65266530132,0.302119830776701,0.0151059915388351,7.85216299374499,157.0432598749,8.5165782557045,0,1500,1494.140625,5.859375,8.5165782557045,8.48022929062882,-1047.86442348356,0,8.5165782557045,0.709714854642042,8.5165782557045,0,72.1547352826428,47037,102,1494.140625,-5.51204030132385,1499.65266530132,1494.140625,0,1,1,1,47037,0,0,47037,72.1547352826428,47037,0
0.576,1499.64843037694,0.321154960389509,0.0160577480194754,7.85214081973277,157.042816394655,8.51707526547978,0,1500,1494.140625,5.859375,8.51707526547978,8.4807263004041,-873.220352902969,0,8.51707526547978,0.709756272123315,8.51707526547978,0,72.3117775403737,47139,102,1494.140625,-5.5078053769405,1499.64843037694,1494.140625,1,0,2,2,47139,0,0,47139,72.3117775403737,47139,0
