time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V,voltage_command_sat_V,duty_cycle,voltage_avg_V,pwm_error_V
0.54425,499.790879060314,0.105402445841082,0.0052701222920541,2.61689892331178,52.3379784662356,2.82768078576394,0,500,499.790010019314,0.209989980686373,2.82768078576394,2.826378101011,3.82449493884247,0,2.82768078576394,0.235640065480328,2.82768078576394,0
0.5443,499.791052423947,0.105401873105281,0.00527009365526407,2.61689983104164,52.3379966208328,2.82768078576394,0,500,499.790010019314,0.209989980686373,2.82768078576394,2.826378101011,3.82449493884247,0,2.82768078576394,0.235640065480328,2.82768078576394,0
0.54435,499.791225642884,0.105401306176211,0.00527006530881054,2.61690073801387,52.3380147602774,2.82768078576394,0,500,499.790010019314,0.209989980686373,2.82768078576394,2.826378101011,3.82449493884247,0,2.82768078576394,0.235640065480328,2.82768078576394,0
0.5444,499.791398718485,0.105400744789059,0.00527003723945297,2.6169016442356,52.338032884712,2.82768078576394,0,500,499.790010019314,0.209989980686373,2.82768078576394,2.826378101011,3.82449493884247,0,2.82768078576394,0.235640065480328,2.82768078576394,0
0.54445,499.791571652051,0.105400188691762,0.00527000943458808,2.61690254971363,52.3380509942727,2.82768078576394,0,500,499.790010019314,0.209989980686373,2.82768078576394,2.826378101011,3.82449493884247,0,2.82768078576394,0.235640065480328,2.82768078576394,0
0.5445,499.791744444823,0.105399637644383,0.00526998188221914,2.61690345445447,52.3380690890895,2.82768078576394,0,500,499.790010019314,0.209989980686373,2.82768078576394,2.826378101011,3.82449493884247,0,2.82768078576394,0.235640065480328,2.82768078576394,0
0.54455,499.791917097986,0.105399091418535,0.00526995457092676,2.61690435846432,52.3380871692864,2.82768078576394,0,500,499.790010019314,0.209989980686373,2.82768078576394,2.826378101011,3.82449493884247,0,2.82768078576394,0.235640065480328,2.82768078576394,0
0.5446,499.792089612672,0.105398549796822,0.00526992748984112,2.6169052617491,52.3381052349821,2.82768078576394,0,500,499.790010019314,0.209989980686373,2.82768078576394,2.826378101011,3.82449493884247,0,2.82768078576394,0.235640065480328,2.82768078576394,0
0.54465,499.792261989962,0.105398012572308,0.00526990062861542,2.61690616431448,52.3381232862897,2.82768078576394,0,500,499.790010019314,0.209989980686373,2.82768078576394,2.826378101011,3.82449493884247,0,2.82768078576394,0.235640065480328,2.82768078576394,0
0.5447,499.792434230888,0.105397479548016,0.00526987397740078,2.61690706616587,52.3381413233173,2.82768078576394,0,500,499.790010019314,0.209989980686373,2.82768078576394,2.826378101011,3.82449493884247,0,2.82768078576394,0.235640065480328,2.82768078576394,0
